id,gameId,playerId,breakScore,round1,round2,final,coryat,playerId,wins
1489,801,1556,2100,5700,24900,34000,17900,1556,5
6271,1613,1,6800,10400,37000,34000,33200,1,74
7131,175,373,3400,7400,27600,34000,25400,373,1
10900,3171,6397,4000,7600,17600,33901,17400,6397,5
12249,3750,7542,2000,4200,17000,33800,17000,7542,1
12610,4132,8293,1600,6000,19200,33800,19200,8293,5
14433,5259,10585,3200,8600,28000,33601,20600,10585,5
9927,2928,5873,5000,7000,17800,33601,17800,5873,3
10028,2851,5722,1400,3200,19600,33601,17200,5722,1
11090,3657,7361,-1000,-800,17500,33601,16200,7361,1
11251,3600,7246,6200,14600,33000,33601,27000,7246,5
11394,3547,7148,1800,8600,19000,33601,17400,7148,1
5860,2918,5860,2000,2800,26000,33601,16000,5860,3
6412,3163,6289,2600,6000,23600,33600,19600,6289,4
6613,3140,6207,3400,4600,23600,33600,23800,6207,7
9025,2489,4956,7200,7200,16800,33600,15800,4956,6
12742,4067,8158,5400,11000,16800,33594,17600,8158,5
13421,4416,8902,4900,8700,16700,33400,15800,8902,2
8210,1987,3973,5600,9200,28201,33333,24400,3973,2
10726,3265,6586,6200,7800,20300,33300,20200,6586,2
12477,4200,8437,3000,6000,28800,33300,26800,8437,1
7378,45,1,5000,5000,27600,33201,26600,1,74
11236,3607,7260,3600,5200,19200,33201,15400,7260,3
5969,2876,5775,2000,7600,23200,33200,10400,5775,1
13094,4551,9168,600,9600,30200,33199,23400,9168,1
9247,2326,4670,3200,8600,25800,33199,25400,4670,4
9277,2303,4619,5000,5800,16600,33198,17600,4619,3
12304,3726,7490,2000,4800,16600,33100,22000,7490,7
8905,2573,5135,5400,6200,24800,33001,19000,5135,5
10833,3212,6472,4800,7600,27500,33000,25800,6472,3
11305,3580,7217,3000,5200,19200,32801,19200,7217,1
14440,5251,10567,6000,6600,22600,32801,22200,10567,4
9232,2344,4667,2000,7400,27800,32801,22000,4667,2
9381,2228,4477,2800,7600,17000,32801,16200,4477,1
10609,3327,6705,2400,8400,19200,32800,20000,6705,2
13207,4502,8955,9800,13800,32800,32800,27400,8955,5
8335,1874,3769,6600,12600,19800,32800,18200,3769,5
8854,1262,2555,3600,5800,16400,32800,13000,2555,3
10357,3419,6878,6800,9800,36400,32800,32200,6878,5
12515,4184,8390,5600,9600,32600,32604,18400,8390,3
9466,2152,4305,4000,9400,22600,32600,22600,4305,5
4159,985,433,2400,4300,21100,32600,14300,433,5
7750,898,1816,1400,2600,17200,32500,13000,1816,2
12439,4218,8468,7300,10300,28700,32500,24800,8468,6
11437,3533,7110,4600,8600,19600,32401,17600,7110,8
9812,2978,5967,2600,10200,18800,32401,15600,5967,1
14444,5249,10567,0,400,16600,32401,15600,10567,4
10196,2727,5474,4400,8800,17400,32401,16000,5474,2
10201,2724,5458,4800,5400,20200,32401,22200,5458,2
10518,3361,6780,1200,4200,24400,32401,17800,6780,3
10721,3268,6595,3200,9400,18600,32401,16600,6595,2
11239,3606,7260,4000,7600,17600,32401,17600,7260,3
9145,2390,4776,1800,6600,18200,32401,17800,4776,3
13220,4496,8955,3000,6800,32400,32400,19800,8955,5
5677,1577,3194,2200,4400,16200,32400,16800,3194,1
6020,2948,5910,3200,7800,26200,32400,25600,5910,2
6388,3180,6412,1000,2000,18800,32300,12400,6412,3
11291,3586,7223,4400,7900,20900,32205,19200,7223,2
7112,200,426,3400,8600,30600,32201,28200,426,3
13133,4544,9146,3800,5800,17200,32200,16200,9146,1
6391,3177,6412,200,2800,16200,32200,12400,6412,3
6745,3132,6045,0,3400,17200,32200,17000,6045,6
6970,314,361,4400,6200,26200,32200,23400,361,5
10712,3273,6605,0,4200,16200,32200,18800,6605,1
11100,3653,7352,2800,10400,27200,32200,19400,7352,1
12136,3789,7606,3000,6600,22200,32200,24000,7606,9
6850,439,861,6200,11000,32000,32100,33000,861,19
8157,535,1108,7400,12600,37100,32100,31600,1108,4
14048,4837,9724,800,200,16100,32100,10200,9724,1
9492,2130,4288,2000,6400,18400,32001,16200,4288,3
9775,2990,5987,3600,6000,16400,32001,16400,5987,5
10297,3441,6932,3600,7000,17400,32001,17400,6932,4
9077,2451,4909,3000,8200,24600,32001,20800,4909,1
6217,2721,1,6200,12600,46000,32000,37200,1,74
12620,4128,8292,2400,7200,20000,32000,21000,8292,1
6607,3084,6207,200,2000,17300,32000,16800,6207,7
7098,221,473,1000,5000,29000,32000,24600,473,2
10144,2759,5535,6200,12800,24000,32000,22400,5535,3
5687,3088,6215,1200,3400,16000,32000,10600,6215,1
14813,5072,10214,2800,6200,18000,31999,15400,10214,2
7540,1156,2294,5000,7000,16000,31801,15000,2294,3
7664,971,1964,3800,5000,23600,31801,21800,1964,2
10323,3432,6914,3000,6800,19800,31800,18800,6914,1
6619,3136,6207,3600,8400,18000,31800,16800,6207,7
11232,3609,7268,2600,5600,15900,31700,11600,7268,1
11812,3900,7825,1800,5400,16600,31700,16600,7825,6
12406,4243,8522,3400,5800,16000,31601,14200,8522,8
13105,4548,9160,3000,4800,18800,31601,18800,9160,2
14471,5226,10519,3200,5200,16400,31601,14000,10519,2
7171,144,293,1800,8600,20400,31601,16800,293,1
6265,2675,1,2400,8000,28400,31601,24000,1,74
8977,2515,5027,3600,11000,23200,31601,15000,5027,4
10048,2832,5672,2000,8600,28400,31601,23600,5672,2
11267,3594,7238,1600,3200,20600,31601,19600,7238,1
10456,3384,6417,4000,8800,21600,31600,21600,6417,3
10979,3706,7453,1200,2000,15800,31600,16400,7453,3
7333,60,1,7200,12600,40800,31600,31600,1,74
8365,1856,3659,3200,7000,15800,31600,13400,3659,5
7369,48,98,3600,9600,30205,31542,30400,98,4
13159,4528,9114,7000,11000,19400,31400,18000,9114,2
7460,18,24,3200,4800,16400,31400,16400,24,2
10059,2825,5668,2600,5400,17400,31400,17800,5668,1
5719,860,1751,3800,9600,26400,31400,26400,1751,5
7138,168,355,2600,6400,17200,31300,17200,355,1
11977,3844,7707,4200,7000,16800,31300,15000,7707,4
12447,4215,8468,1800,4400,19200,31201,18400,8468,6
5641,2650,5313,2400,5800,20400,31201,14200,5313,2
6489,3276,6610,3600,6000,18800,31201,18800,6610,3
9361,2240,4500,3000,5000,18400,31201,19400,4500,5
10434,3393,6838,3200,6600,16200,31201,16200,6838,2
11357,3562,7178,2400,4600,19400,31201,16600,7178,1
9043,2471,4919,6000,9400,24400,31200,20600,4919,3
9049,2469,4919,600,600,15600,31200,12200,4919,3
