id,correct,amount
10474,1,6000
10484,1,1600
10500,0,1000
10539,1,2000
10541,0,1400
10569,0,1200
10599,1,3000
10601,1,1000
10617,1,3000
10655,1,2000
10660,1,2000
10681,1,1600
10708,1,2000
10724,1,1800
10762,1,1600
10778,0,1200
10785,0,4000
10809,1,2000
10849,0,1200
10850,1,2000
10883,0,600
10901,1,1600
10910,0,4000
10940,1,1000
10955,0,2000
10970,1,1000
10994,0,2000
11033,0,4800
11035,1,4000
11045,1,1000
11068,0,2000
11078,0,5000
11119,0,1400
11139,0,2000
11144,1,2000
11184,0,400
11195,1,200
11206,0,1000
11235,0,400
11263,0,600
11300,0,400
11321,1,10000
11325,1,4000
11351,1,1000
11372,1,4000
11374,0,5000
11411,0,1600
11433,1,1600
11438,1,1600
11469,0,1000
11485,1,2000
11496,0,800
11524,1,600
11545,0,1600
11548,0,1400
11588,1,1400
11616,0,2600
11652,1,1000
11663,1,2000
11672,0,1200
11692,1,1000
11711,1,2000
11717,1,1600
11752,1,1200
11776,1,2000
11784,0,2000
11812,0,1000
11835,1,4000
11836,1,5200
11866,1,1800
11872,0,6000
11890,1,5400
11916,1,2000
11937,1,2400
11940,0,2000
11966,1,1000
11991,1,2000
11998,1,1600
12031,1,800
12049,0,4000
12053,1,2000
12088,1,1000
12101,1,2000
12109,0,2200
12145,0,600
12161,1,2000
12165,1,2000
12193,1,1000
12229,1,6000
12230,1,6000
12269,1,1600
12282,1,2000
12284,1,1600
12321,1,1000
12331,1,3000
12332,1,2000
12371,1,3200
12393,1,2000
12402,1,3800
12437,1,2000
12449,0,5000
12462,0,1800
12482,1,1000
12520,1,3000
12530,0,3200
12550,0,1000
12566,1,1000
12577,1,2400
12595,1,1000
12623,0,4000
12630,1,3000
12667,0,1000
12704,1,3200
12705,1,3000
12738,1,1000
12749,1,1000
12759,1,1600
12788,1,1000
12809,0,1200
12822,1,7400
12844,1,600
12869,0,2000
12879,0,4000
12901,1,1000
12926,1,7400
12934,0,2000
12979,1,2000
12994,1,4000
12999,0,2000
13048,1,1200
13057,1,6600
