id,correct,amount
12449,FALSE,5000
12462,FALSE,1800
12482,TRUE,1000
12520,TRUE,3000
12530,FALSE,3200
12550,FALSE,1000
12566,TRUE,1000
12577,TRUE,2400
12595,TRUE,1000
12623,FALSE,4000
12630,TRUE,3000
12667,FALSE,1000
12704,TRUE,3200
12705,TRUE,3000
12738,TRUE,1000
12749,TRUE,1000
12759,TRUE,1600
12788,TRUE,1000
12809,FALSE,1200
12822,TRUE,7400
12844,TRUE,600
12869,FALSE,2000
12879,FALSE,4000
12901,TRUE,1000
12926,TRUE,7400
12934,FALSE,2000
12979,TRUE,2000
12994,TRUE,4000
12999,FALSE,2000
13048,TRUE,1200
13057,TRUE,6600
13071,TRUE,2366
13099,FALSE,1000
13126,TRUE,2000
13138,TRUE,2000
13158,TRUE,200
13192,TRUE,4000
13196,FALSE,3200
13262,TRUE,5000
13263,FALSE,4600
13294,TRUE,600
13312,FALSE,400
13324,TRUE,2400
13354,FALSE,800
13365,TRUE,800
13374,TRUE,2000
13417,TRUE,1600
13427,TRUE,7000
13447,TRUE,2000
13503,TRUE,1000
13507,TRUE,2000
13522,TRUE,1000
13560,TRUE,3000
13563,TRUE,3000
13604,TRUE,1800
13613,TRUE,5000
13637,FALSE,1000
13653,TRUE,1000
13679,TRUE,2000
13682,FALSE,4000
13717,TRUE,2800
13740,TRUE,5000
13749,TRUE,1400
13763,TRUE,2600
13786,TRUE,4000
13791,TRUE,1600
13834,TRUE,800
13857,FALSE,3600
13859,FALSE,2000
13898,TRUE,1200
13926,TRUE,4000
13930,FALSE,1600
13955,TRUE,1200
13973,TRUE,4000
13982,FALSE,2200
14016,FALSE,800
14044,TRUE,3600
14055,TRUE,2800
14088,FALSE,1600
14103,FALSE,1200
14146,TRUE,1000
14160,FALSE,2000
14167,TRUE,3000
14191,TRUE,1200
14224,FALSE,1400
14279,FALSE,2000
14306,FALSE,1600
14318,TRUE,2000
14337,TRUE,1600
14382,TRUE,2000
14386,TRUE,1000
14403,TRUE,600
14429,TRUE,4000
14443,TRUE,1200
14458,FALSE,1200
14489,FALSE,2000
14492,TRUE,2600
14526,FALSE,1800
14551,TRUE,4000
14554,TRUE,4800
14592,FALSE,1000
14609,TRUE,3400
14654,TRUE,1400
14672,TRUE,3000
14682,TRUE,2000
14711,FALSE,600
14730,TRUE,2000
14733,TRUE,1000
14763,FALSE,1800
14793,TRUE,5000
14794,FALSE,200
14828,TRUE,800
14854,FALSE,6800
14856,FALSE,2000
14873,FALSE,2000
14904,FALSE,2000
14907,TRUE,800
14929,TRUE,1000
14954,TRUE,2000
14990,TRUE,1000
15019,TRUE,2400
15029,TRUE,2400
15062,FALSE,2000
15097,FALSE,1400
15099,TRUE,5600
15125,FALSE,2000
15144,TRUE,1600
15150,FALSE,2000
15179,TRUE,1600
15197,FALSE,2600
15202,TRUE,1200
15231,TRUE,600
15253,TRUE,2000
15264,TRUE,800
15285,TRUE,1000
15306,TRUE,2000
15313,TRUE,2400
15342,TRUE,1000
15344,TRUE,1000
15365,TRUE,1000
15398,FALSE,1000
15426,TRUE,4000
15429,TRUE,2400
15477,TRUE,4200
15482,FALSE,2000
15522,TRUE,1200
15539,TRUE,5000
15552,FALSE,2600
15565,TRUE,1800
15596,TRUE,2000
15601,FALSE,5600
15637,TRUE,1600
15654,TRUE,15800
15659,TRUE,5000
15679,TRUE,1000
15718,FALSE,2000
15727,TRUE,8000
15758,FALSE,1000
15784,TRUE,3200
15789,FALSE,800
15804,TRUE,1200
15827,TRUE,2000
15834,FALSE,3000
15872,TRUE,2000
15895,TRUE,4000
15897,FALSE,4000
15925,FALSE,4200
15948,TRUE,200
15949,FALSE,2000
15983,TRUE,2000
16011,TRUE,2000
16015,TRUE,3000
16051,FALSE,2600
16070,TRUE,2000
16071,TRUE,1600
16108,FALSE,1000
16138,TRUE,2000
16145,FALSE,4000
16166,TRUE,1000
16194,FALSE,2000
16203,FALSE,2000
16219,TRUE,400
16246,FALSE,1200
16256,TRUE,4000
16286,TRUE,1600
16295,TRUE,3000
16299,FALSE,7000
16342,TRUE,1000
16368,TRUE,3200
16376,TRUE,2600
16412,TRUE,1000
16429,TRUE,6400
16430,TRUE,2000
16459,FALSE,1000
16480,FALSE,2000
16484,TRUE,3400
16516,TRUE,1000
16544,TRUE,4000
16549,TRUE,4000
16563,FALSE,2400
16592,TRUE,1400
16602,FALSE,2000
16621,TRUE,1200
16642,TRUE,400
16661,TRUE,1000
16692,TRUE,800
16714,FALSE,200
16715,TRUE,1600
16753,FALSE,1600
16762,FALSE,2000
16777,TRUE,2800
16795,TRUE,1600
16829,TRUE,2000
16831,TRUE,2000
16863,TRUE,1600
16884,TRUE,1800
16893,TRUE,4000
16915,TRUE,1400
16941,TRUE,16000
16944,TRUE,8000
16992,FALSE,1000
17015,TRUE,1800
17016,TRUE,2800
17045,TRUE,2000
17070,FALSE,2000
17075,TRUE,2000
17119,TRUE,2200
17131,TRUE,5000
17133,FALSE,2000
17164,TRUE,800
17196,TRUE,3000
17200,TRUE,6000
17224,TRUE,1000
17250,TRUE,8000
17258,TRUE,1800
17298,TRUE,2200
17326,FALSE,8200
17333,FALSE,4400
17362,TRUE,800
17389,TRUE,1600
17398,TRUE,2000
17424,TRUE,1000
17461,FALSE,4000
17465,TRUE,2000
17501,TRUE,200
17525,TRUE,4000
17535,FALSE,5000
17563,FALSE,1800
17592,FALSE,4000
17593,FALSE,3000
17630,TRUE,1200
17650,TRUE,4800
17651,TRUE,7800
17689,TRUE,2000
17713,TRUE,8200
17725,TRUE,4000
17754,TRUE,3600
17768,FALSE,6200
17783,TRUE,1600
17814,FALSE,1000
17835,TRUE,2000
17852,FALSE,3000
17885,TRUE,3000
17888,TRUE,4000
17893,TRUE,3600
17928,FALSE,400
17952,TRUE,2200
17967,TRUE,2000
17994,FALSE,1600
18015,FALSE,2000
18030,TRUE,2000
18042,TRUE,1000
18077,TRUE,2000
18080,FALSE,4000
18095,TRUE,1000
18145,TRUE,5000
18147,TRUE,3000
18171,FALSE,1200
18205,TRUE,2000
18214,TRUE,2000
18241,TRUE,1000
18263,TRUE,5600
18269,TRUE,5200
18303,TRUE,2000
18307,FALSE,1000
18326,TRUE,1000
18360,TRUE,7000
18362,TRUE,2000
18392,FALSE,1000
18416,FALSE,4000
18421,TRUE,2600
18457,FALSE,3000
18469,TRUE,4000
18483,TRUE,4000
18524,TRUE,3800
18544,TRUE,3400
18547,TRUE,6800
18583,TRUE,1000
18598,TRUE,6800
18601,FALSE,9200
18618,TRUE,800
18653,FALSE,10000
18696,TRUE,2000
18724,TRUE,2000
18725,FALSE,6000
18741,FALSE,4600
18783,FALSE,8000
18784,TRUE,2600
18818,FALSE,1400
18844,TRUE,6000
18846,TRUE,2200
18885,FALSE,1000
18906,TRUE,2000
18911,FALSE,1000
18940,FALSE,1000
18960,FALSE,2000
18978,TRUE,1000
19002,FALSE,2600
19031,TRUE,2000
19033,TRUE,2400
19058,TRUE,1000
19102,TRUE,3000
19107,FALSE,3000
19130,TRUE,2200
19150,FALSE,2600
19154,TRUE,2000
19174,TRUE,600
19211,TRUE,2600
19221,TRUE,2400
19250,FALSE,1000
19284,TRUE,2000
19288,FALSE,2800
19326,TRUE,1400
19343,TRUE,2400
19348,TRUE,4000
19389,FALSE,1000
19409,TRUE,1000
19411,TRUE,2000
19454,TRUE,6200
19477,TRUE,6000
19479,FALSE,10000
19509,TRUE,3000
19524,TRUE,5000
19528,FALSE,4000
19563,TRUE,1200
19583,TRUE,5200
19585,FALSE,6000
19616,FALSE,2200
19647,TRUE,4000
19649,FALSE,1600
19678,TRUE,4000
19703,TRUE,6000
19706,FALSE,8000
19729,FALSE,1000
19754,TRUE,1000
19761,TRUE,1000
19774,FALSE,1000
19816,FALSE,2000
19822,FALSE,2000
19846,TRUE,1000
19876,TRUE,3600
19888,FALSE,600
19920,FALSE,1400
19933,FALSE,3200
19936,FALSE,600
19982,TRUE,1800
20010,FALSE,4000
20012,TRUE,6000
20038,FALSE,800
20066,FALSE,1400
20078,FALSE,1600
20094,FALSE,200
20128,TRUE,4000
20132,TRUE,2000
20160,FALSE,1800
20180,TRUE,2000
20189,TRUE,2000
20216,TRUE,2000
20248,FALSE,3000
20249,FALSE,3000
20289,TRUE,2800
20310,FALSE,5400
20339,TRUE,1200
20360,TRUE,1200
20372,TRUE,6800
20395,FALSE,1000
20412,TRUE,2000
20455,TRUE,1000
20490,FALSE,2400
20497,TRUE,2000
20526,TRUE,1000
20543,TRUE,1400
20548,TRUE,1400
20576,TRUE,800
20596,TRUE,2400
20603,TRUE,1200
20639,TRUE,2000
20665,TRUE,2000
20668,FALSE,2000
20686,TRUE,2400
20717,TRUE,7600
20725,TRUE,3200
20763,TRUE,1600
20798,TRUE,3000
20802,TRUE,5000
20837,FALSE,1200
20868,TRUE,5000
20877,TRUE,4200
20909,TRUE,1000
20923,TRUE,3800
20926,TRUE,6200
20968,TRUE,1200
20990,FALSE,2400
21006,FALSE,2000
21036,TRUE,1000
21048,TRUE,1600
21056,TRUE,3000
21083,TRUE,1200
21112,TRUE,1200
21123,TRUE,2000
21157,FALSE,1000
21184,TRUE,6000
21188,TRUE,6000
21211,FALSE,3000
21242,FALSE,3000
21249,TRUE,4000
21265,FALSE,2000
21298,FALSE,1600
21311,TRUE,2000
21337,TRUE,2800
21362,FALSE,3000
21364,TRUE,2600
21392,FALSE,2200
21411,TRUE,2400
21429,TRUE,4000
21447,TRUE,1000
21486,TRUE,2000
21492,TRUE,4600
21504,TRUE,400
21537,TRUE,2000
21541,TRUE,1400
21570,TRUE,2000
21606,TRUE,3000
21610,TRUE,2400
21640,FALSE,1800
21654,FALSE,2000
21658,FALSE,1600
21705,TRUE,1000
21727,TRUE,4000
21729,TRUE,2000
21758,TRUE,1000
21783,FALSE,2000
21785,FALSE,2400
21821,FALSE,600
21839,TRUE,1000
21841,TRUE,2000
21871,FALSE,1400
21892,TRUE,2000
21918,TRUE,1000
21945,TRUE,3000
21946,FALSE,2000
21983,TRUE,3000
22003,FALSE,1200
22008,FALSE,2400
22036,TRUE,1000
22064,TRUE,4000
22065,FALSE,3000
22094,FALSE,600
22125,TRUE,600
22133,TRUE,2000
22162,TRUE,2600
22189,TRUE,7000
22190,FALSE,8000
22206,FALSE,1200
22242,FALSE,3400
22244,TRUE,4000
22276,FALSE,2000
22301,TRUE,8000
22302,TRUE,14000
22322,FALSE,2000
22363,TRUE,2000
22366,TRUE,8000
22393,TRUE,2000
22412,TRUE,5400
22419,FALSE,8000
22458,FALSE,1000
22477,TRUE,4000
22478,FALSE,4000
22513,TRUE,5200
22541,FALSE,2000
22546,TRUE,4000
22572,FALSE,1000
22590,FALSE,2000
22592,FALSE,2400
22631,FALSE,1800
22658,TRUE,6000
22665,TRUE,2400
22702,TRUE,1000
22724,FALSE,2600
22762,FALSE,1000
22789,TRUE,4000
22790,TRUE,2000
22825,TRUE,2000
22850,TRUE,2400
22856,TRUE,2800
22883,FALSE,1400
22910,FALSE,4000
22912,TRUE,4000
22950,TRUE,1400
22974,TRUE,1400
